id;checkin_time;checkout_time;face_verified
1;2025-04-04T01:23:46;2025-04-03T17:15:21;false
2;2025-04-04T10:37:26;2025-04-04T04:55:42;true
3;2025-04-04T16:49:35;2025-04-04T00:30:06;false
4;2025-04-04T07:03:07;2025-04-04T06:30:47;true
5;2025-04-04T06:29:07;2025-04-04T13:42:38;true
6;2025-04-04T04:56:58;2025-04-03T18:34:24;true
7;2025-04-03T17:13:52;2025-04-03T18:15:56;false
8;2025-04-03T19:19:36;2025-04-04T07:14:44;false
9;2025-04-04T01:55:39;2025-04-04T06:50:43;true
10;2025-04-04T07:09:46;2025-04-04T04:21:58;false
