id;start_time;end_time;status
1;2025-04-04T09:31:18;2025-04-04T03:02:10;COMPLETED
2;2025-04-03T23:54:09;2025-04-04T14:03:40;ONGOING
3;2025-04-04T08:36:43;2025-04-04T03:53:50;ONGOING
4;2025-04-04T00:01:29;2025-04-04T01:02:14;COMPLETED
5;2025-04-04T13:02:05;2025-04-04T10:50:12;ONGOING
6;2025-04-04T01:55:06;2025-04-04T07:10:27;COMPLETED
7;2025-04-04T00:15:24;2025-04-04T01:03:05;ONGOING
8;2025-04-04T16:54:40;2025-04-03T19:57:18;COMPLETED
9;2025-04-04T08:50:46;2025-04-04T03:24:46;ONGOING
10;2025-04-03T20:01:37;2025-04-04T09:38:17;ONGOING
