id;checkin_time;checkout_time;face_verified
1;2025-04-04T06:18:17;2025-04-03T22:18:57;true
2;2025-04-04T08:51:26;2025-04-03T09:10:13;false
3;2025-04-03T09:44:48;2025-04-04T05:36:34;false
4;2025-04-03T15:30:09;2025-04-04T01:19:41;true
5;2025-04-03T10:07:51;2025-04-04T02:58:40;false
6;2025-04-03T21:01:42;2025-04-03T23:14:39;false
7;2025-04-04T03:27:46;2025-04-03T09:20:22;true
8;2025-04-03T10:54:41;2025-04-03T17:09:09;false
9;2025-04-04T05:07:17;2025-04-03T15:12:59;false
10;2025-04-03T21:56:52;2025-04-03T14:20:57;true
