id;start_time;end_time;status
1;2025-04-03T23:35:49;2025-04-03T15:52:43;ONGOING
2;2025-04-03T21:56:44;2025-04-04T05:07:43;ONGOING
3;2025-04-03T16:38:37;2025-04-04T03:18:23;ONGOING
4;2025-04-03T22:41:22;2025-04-03T23:50:09;COMPLETED
5;2025-04-03T21:47:16;2025-04-03T22:15:25;ONGOING
6;2025-04-03T14:47:25;2025-04-03T11:35:07;ONGOING
7;2025-04-03T09:34:43;2025-04-03T10:30:42;COMPLETED
8;2025-04-04T06:19:14;2025-04-03T17:32:31;ONGOING
9;2025-04-03T09:33:28;2025-04-04T06:17:23;ONGOING
10;2025-04-04T05:32:30;2025-04-03T21:15:34;COMPLETED
