id;checkin_time;checkout_time;face_verified
1;2025-04-04T05:24:30;2025-04-04T05:39:26;true
2;2025-04-04T05:37:49;2025-04-03T21:26:02;true
3;2025-04-03T21:24:27;2025-04-03T18:51:25;false
4;2025-04-03T16:27:04;2025-04-03T23:09:54;true
5;2025-04-04T06:57:47;2025-04-04T07:27:17;false
6;2025-04-04T04:17:32;2025-04-04T08:43:53;true
7;2025-04-03T13:38:17;2025-04-03T18:49:34;false
8;2025-04-03T16:43:10;2025-04-04T00:09:20;true
9;2025-04-04T01:58:14;2025-04-04T07:02:43;true
10;2025-04-03T20:52:40;2025-04-03T16:41:51;false
