id;start_time;end_time;status
1;2025-04-03T17:31:03;2025-04-04T09:07:13;COMPLETED
2;2025-04-04T07:51:59;2025-04-03T15:50:43;ONGOING
3;2025-04-03T14:15:50;2025-04-04T05:45:34;COMPLETED
4;2025-04-04T01:48:08;2025-04-03T16:23:32;ONGOING
5;2025-04-03T16:01:19;2025-04-03T16:02:13;ONGOING
6;2025-04-04T01:24:46;2025-04-03T11:43:55;COMPLETED
7;2025-04-03T22:46:13;2025-04-03T12:11:34;ONGOING
8;2025-04-03T23:59:32;2025-04-04T09:41:47;COMPLETED
9;2025-04-04T04:59:02;2025-04-04T00:18:36;COMPLETED
10;2025-04-03T14:09:25;2025-04-03T20:23:38;COMPLETED
