id;value;timestamp;type;is_delete;is_read
1;32687.23;2025-04-04T12:02:31;DROWSINESS;false;false
2;20382.72;2025-04-04T06:15:10;DROWSINESS;true;false
3;3957.63;2025-04-04T04:31:55;DROWSINESS;false;true
4;19939.84;2025-04-03T23:04:58;ALCOHOL;true;false
5;5290.05;2025-04-04T04:23:43;DROWSINESS;false;true
6;15541.67;2025-04-04T06:28:30;DROWSINESS;true;true
7;26272.32;2025-04-04T05:57:41;DROWSINESS;false;false
8;15209.17;2025-04-04T01:49:36;DROWSINESS;true;true
9;29677;2025-04-03T18:16:15;DROWSINESS;true;true
10;1330.52;2025-04-04T16:26:28;ALCOHOL;true;true
